Well	STRAIN
A01	YHR043C
A02	YHR204W
A03	YCR019W
A04	YLR213C
A05	YKL101W
A06	YGR072W
A07	YOR161C
A08	YOR226C
A09	YJL162C
A10	YJL133W
A11	YLR407W
A12	FY4
B01	YHR050W
B02	YCL009C
B03	YCR022C
B04	YKL015W
B05	YKL178C
B06	YGR080W
B07	YOR173W
B08	YJL218W
B09	YJL158C
B10	YJL130C
B11	YLR414C
B12	BY4741
C01	YHR057C
C02	YCL027W
C03	YLR136C
C04	YKL023W
C05	YGR033C
C06	YOR097C
C07	YOR178C
C08	YJL217W
C09	YJL157C
C10	YLR335W
C11	YLR238W
C12	BY4742
D01	YHR078W
D02	YCL033C
D03	YMR074C
D04	YKL025C
D05	YGR049W
D06	YOR100C
D07	YOR186W
D08	YJL215C
D09	YJL150W
D10	YLR351C
D11	YLR241W
D12	YKL080W
E01	YHR114W
E02	YCL050C
E03	YLR151C
E04	YKL034W
E05	YGR052W
E06	YOR107W
E07	YOR195W
E08	YJL199C
E09	YJL146W
E10	YLR362W
E11	YLR248W
E12	FY4
F01	YHR115C
F02	YCL051W
F03	YLR187W
F04	YKL053W
F05	YGR066C
F06	YOR129C
F07	YOR212W
F08	YJL187C
F09	YJL144W
F10	YLR376C
F11	YLR263W
F12	BY4741
G01	YHR139C
G02	YCR001W
G03	YLR206W
G04	YKL062W
G05	YGR067C
G06	YOR130C
G07	YOR219C
G08	YJL186W
G09	YJL135W
G10	YLR380W
G11	YLR266C
G12	BY4742
H01	YHR199C
H02	YCR010C
H03	YLR207W
H04	YKL064W
H05	YGR069W
H06	YOR138C
H07	YOR225W
H08	YJL185C
H09	YJL134W
H10	YLR385C
H11	YLR273C
H12	YKL080W
