Well	STRAIN
A01	YBL025W
A02	YBR251W
A03	YBR267W
A04	YDL081C
A05	YDR138W
A06	YGR104C
A07	YJL184W
A08	YLR148W
A09	YLR182W
A10	YLR425W
A11	YMR202W
A12	FY4
B01	YNL133C
B02	YOL115W
B03	YOL143C
B04	YPL005W
B05	YPL042C
B06	YAL002W
B07	YAL010C
B08	YBL007C
B09	YBR084C-A
B10	YBR101C
B11	YBR106W
B12	BY4741
C01	YBR146W
C02	YBR266C
C03	YCL008C
C04	YCR047C
C05	YDL107W
C06	YDL113C
C07	YDL160C
C08	YDL191W
C09	YDL192W
C10	YDR017C
C11	YDR074W
C12	BY4742
D01	YDR197W
D02	YDR231C
D03	YDR392W
D04	YDR418W
D05	YDR484W
D06	YEL009C
D07	YEL027W
D08	YER058W
D09	YER116C
D10	YER141W
D11	YGL038C
D12	YKL080W
E01	YGL127C
E02	YGL135W
E03	YGR200C
E04	YHR026W
E05	YHR051W
E06	YHR116W
E07	YIL148W
E08	YJL003W
E09	YJL071W
E10	YJL101C
E11	YJL131C
E12	FY4
F01	YKL016C
F02	YKL069W
F03	YKL118W
F04	YLR295C
F05	YLR320W
F06	YLR448W
F07	YML061C
F08	YML097C
F09	YMR060C
F10	YMR089C
F11	YMR123W
F12	BY4741
G01	YMR142C
G02	YMR282C
G03	YMR312W
G04	YNL054W
G05	YNL138W
G06	YNL139C
G07	YNL170W
G08	YOL041C
G09	YOL067C
G10	YOL076W
G11	YOL121C
G12	BY4742
H01	YOR069W
H02	YOR106W
H03	YOR221C
H04	YPL078C
H05	YPL205C
H06	YPR159W
H07	YDR204W
H08	YML073C
H09	YGL045W
H10	YBL024W
H11	YJL177W
H12	YKL080W
