Well	STRAIN
A01	YNL003C
A02	YLR260W
A03	YGL046W
A04	YNL021W
A05	YBR224W
A06	YHR191C
A07	YMR223W
A08	YBL094C
A09	YBL051C
A10	YGR222W
A11	YOR158W
A12	FY4
B01	YLR089C
B02	YGR039W
B03	YDL090C
B04	YKR092C
B05	YJL211C
B06	YOL064C
B07	YGL245W
B08	YDR108W
B09	YMR307W
B10	YNL227C
B11	YGR050C
B12	BY4741
C01	YPR181C
C02	YER177W
C03	YER120W
C04	YOL023W
C05	YLR372W
C06	YDL117W
C07	YGR148C
C08	YMR204C
C09	YOL081W
C10	YNL136W
C11	YDR463W
C12	BY4742
D01	YGR064W
D02	YPR191W
D03	YLL007C
D04	YDR442W
D05	YER178W
D06	YJR060W
D07	YAL055W
D08	YBL100C
D09	YIL065C
D10	YGR034W
D11	YGR122W
D12	YKL080W
E01	YGR214W
E02	YDR375C
E03	YNR051C
E04	YDR512C
E05	YBR174C
E06	YNL067W
E07	YCR077C
E08	YDR265W
E09	YOL044W
E10	YMR294W
E11	YML073C
E12	FY4
F01	YBL006C
F02	YDR519W
F03	YBR194W
F04	YKL176C
F05	YGL153W
F06	YJR054W
F07	YIL070C
F08	YNL147W
F09	YJL117W
F10	YML106W
F11	YGL148W
F12	BY4741
G01	YIR005W
G02	YDR496C
G03	YKL204W
G04	YGR027C
G05	YJL154C
G06	YJL210W
G07	YOR070C
G08	YDR126W
G09	YPL132W
G10	YBR025C
G11	YBR231C
G12	BY4742
H01	YOL096C
H02	YBR175W
H03	YKL179C
H04	YIR033W
H05	YCL062W
H06	YOR358W
H07	YMR026C
H08	YLR114C
H09	YJR037W
H10	YBR171W
H11	YOR037W
H12	YKL080W
