Well	STRAIN
A01	YMR077C
A02	YOL145C
A03	YOR187W
A04	YPL173W
A05	YPL013C
A06	YDR175C
A07	YLR338W
A08	YIL093C
A09	YCR003W
A10	YDR322W
A11	YGR219W
A12	FY4
B01	YBR061C
B02	YHR011W
B03	YDR176W
B04	YGR240C
B05	YEL029C
B06	YCR063W
B07	YJR104C
B08	YBL072C
B09	YMR293C
B10	YAL012W
B11	YJL063C
B12	BY4741
C01	YHL004W
C02	YDR296W
C03	YGR171C
C04	YHR194W
C05	YDR359C
C06	YHR013C
C07	YBR036C
C08	YGR215W
C09	YGR165W
C10	YCR028C-A
C11	YDR300C
C12	BY4742
D01	YER086W
D02	YGR285C
D03	YBL080C
D04	YPL180W
D05	YDR477W
D06	YDR382W
D07	YOL108C
D08	YHR038W
D09	YPL188W
D10	YOL049W
D11	YBL099W
D12	YKL080W
E01	YFR001W
E02	YBL038W
E03	YPR047W
E04	YKR085C
E05	YMR097C
E06	YGL064C
E07	YPL178W
E08	YLR261C
E09	YPR101W
E10	YPL226W
E11	YHR081W
E12	FY4
F01	YER044C
F02	YDR140W
F03	YLR357W
F04	YBR127C
F05	YLR447C
F06	YBR122C
F07	YNR036C
F08	YGL173C
F09	YMR179W
F10	YER117W
F11	YLR091W
F12	BY4741
G01	YMR062C
G02	YDR173C
G03	YOR241W
G04	YKL194C
G05	YJR102C
G06	YJR118C
G07	YGR188C
G08	YMR286W
G09	YGL105W
G10	YGL190C
G11	YPL254W
G12	BY4742
H01	YLR369W
H02	YOL140W
H03	YLR069C
H04	YLR226W
H05	YPR116W
H06	YDR268W
H07	YPL045W
H08	YDL040C
H09	YGL070C
H10	YDR377W
H11	YMR257C
H12	YKL080W
