Well	STRAIN
A01	YKL041W
A02	YMR032W
A03	YDR074W
A04	YNL170W
A05	YJR055W
A06	YOR221C
A07	YKL113C
A08	YNL215W
A09	YDR200C
A10	YKR057W
A11	YGR255C
A12	FY4
B01	YMR024W
B02	YOR080W
B03	YGL078C
B04	YKL138C
B05	YGR105W
B06	YGL212W
B07	YML061C
B08	YBR126C
B09	YDR128W
B10	YGR092W
B11	YGL237C
B12	BY4741
C01	YLR358C
C02	YGL244W
C03	YDR443C
C04	YIL134W
C05	YLR201C
C06	YDL033C
C07	YDR295C
C08	YLR203C
C09	YOR014W
C10	YEL027W
C11	YOR136W
C12	BY4742
D01	YML024W
D02	YER040W
D03	YLL018C-A
D04	YLL027W
D05	YAL047C
D06	YBL027W
D07	YOR026W
D08	YPR163C
D09	YJL131C
D10	YOR135C
D11	YGR270W
D12	YKL080W
E01	YCR028C
E02	YHR120W
E03	YBR003W
E04	YDL044C
E05	YDR083W
E06	YLR342W
E07	YNL171C
E08	YKL139W
E09	YKR024C
E10	YNL229C
E11	YKL054C
E12	FY4
F01	YGL168W
F02	YOL086C
F03	YJL180C
F04	YLR038C
F05	YHR049W
F06	YLR262C
F07	YOR182C
F08	YBR048W
F09	YBR101C
F10	YDL130W
F11	YGR118W
F12	BY4741
G01	YER154W
G02	YGR159C
G03	YJL003W
G04	YMR064W
G05	YDR439W
G06	YGR257C
G07	YDR024W
G08	YPL086C
G09	YLL002W
G10	YBR082C
G11	YJR084W
G12	BY4742
H01	YDL107W
H02	YPR024W
H03	YDR484W
H04	YER083C
H05	YNL084C
H06	YGL066W
H07	YJL204C
H08	YNL025C
H09	YML112W
H10	YML036W
H11	YHR187W
H12	YKL080W
