Well	STRAIN
A01	FY4
A02	FY4
A03	FY4
A04	FY4
A05	FY4
A06	FY4
A07	BY4741
A08	BY4741
A09	BY4741
A10	BY4742
A11	BY4742
A12	BY4742
B01	YJR032W
B02	YPL029W
B03	YER151C
B04	YPL148C
B05	YPL031C
B06	YBR026C
B07	YDR392W
B08	YKL032C
B09	YMR116C
B10	YJL127C
B11	YPL055C
B12	YGL043W
C01	YGL076C
C02	YBR021W
C03	YMR224C
C04	YLR184W
C05	YDR162C
C06	YDR241W
C07	YOR309C
C08	YGR163W
C09	YBL045C
C10	YBL007C
C11	YJL148W
C12	YPL174C
D01	YOL004W
D02	YPL090C
D03	YPL118W
D04	YPR036W
D05	YLR370C
D06	YGL240W
D07	YOL012C
D08	YGL119W
D09	YEL013W
D10	YML026C
D11	YLR384C
D12	YGR057C
E01	YLR067C
E02	YCR047C
E03	YPL172C
E04	YNL055C
E05	YJR145C
E06	YFL036W
E07	YJL101C
E08	YER056C-A
E09	YMR154C
E10	YGL186C
E11	YGL115W
E12	YPR179C
F01	YIL157C
F02	YLL039C
F03	YIR021W
F04	YDL002C
F05	YNL064C
F06	YER061C
F07	YKL170W
F08	YDR159W
F09	YJL209W
F10	YDL082W
F11	YNL037C
F12	YDL115C
G01	YLR410W
G02	YHR168W
G03	YJL129C
G04	YPL215W
G05	YKL002W
G06	YPR117W
G07	YBR181C
G08	YDL077C
G09	YOR183W
G10	YDL020C
G11	YHR012W
G12	YGR062C
H01	YHR067W
H02	YER077C
H03	YGL167C
H04	YKL009W
H05	YHR203C
H06	YHL027W
H07	YLR056W
H08	YKL055C
H09	YGR229C
H10	YPR070W
H11	YPL102C
H12	YKR007W
