Well	STRAIN
A01	YAL067C
A02	YLL013C
A03	YML029W
A04	YMR186W
A05	YNL286W
A06	YOR051C
A07	YOR371C
A08	YPL203W
A09	YPL113C
A10	YDR371W
A11	YER032W
A12	FY4
B01	YAL060W
B02	YLR019W
B03	YML020W
B04	YMR195W
B05	YNL283C
B06	YOR052C
B07	YOL003C
B08	YPL202C
B09	YBR182C
B10	YDR409W
B11	YER034W
B12	BY4741
C01	YAL056W
C02	YLR102C
C03	YML007W
C04	YMR214W
C05	YNL270C
C06	YOR062C
C07	YOL025W
C08	YPL167C
C09	YBR250W
C10	YDR411C
C11	YER062C
C12	BY4742
D01	YAL042W
D02	YLR104W
D03	YML005W
D04	YMR226C
D05	YNL254C
D06	YOR081C
D07	YOL085C
D08	YPL155C
D09	YBR264C
D10	YDR420W
D11	YGR123C
D12	YKL080W
E01	YAL036C
E02	YLR108C
E03	YMR022W
E04	YMR233W
E05	YOR028C
E06	YOR290C
E07	YPL247C
E08	YPL135W
E09	YDR073W
E10	YDR423C
E11	YGR144W
E12	FY4
F01	YAL022C
F02	YLR124W
F03	YMR140W
F04	YMR237W
F05	YOR029W
F06	YOR304W
F07	YPL240C
F08	YPL123C
F09	YDR075W
F10	YPR083W
F11	YGR178C
F12	BY4741
G01	YAL014C
G02	YML082W
G03	YMR145C
G04	YMR264W
G05	YOR042W
G06	YOR339C
G07	YPL221W
G08	YPL121C
G09	YDR096W
G10	YPR091C
G11	YGR205W
G12	BY4742
H01	YLL010C
H02	YML081W
H03	YMR148W
H04	YNL086W
H05	YOR049C
H06	YOR360C
H07	YPL206C
H08	YPL119C
H09	YDR103W
H10	YER005W
H11	YHL014C
H12	YKL080W
