Well	STRAIN
A01	YKL184W
A02	YBL025W
A03	YBR267W
A04	YDR138W
A05	YMR202W
A06	YNL133C
A07	YOL143C
A08	YPL005W
A09	YGR104C
A10	YLR425W
A11	YJL184W
A12	FY4
B01	YLR148W
B02	YLR182W
B03	YOL049W
B04	YJR073C
B05	YBL007C
B06	YBR084C-A
B07	YJL180C
B08	YBR101C
B09	YCL008C
B10	YCR047C
B11	YDL107W
B12	BY4741
C01	YDL113C
C02	YDL192W
C03	YDR074W
C04	YDL107W
C05	YDL192W
C06	YDR392W
C07	YDR484W
C08	YEL027W
C09	YDR484W
C10	YER141W
C11	YHR026W
C12	BY4742
D01	YJL003W
D02	YJL101C
D03	YJL131C
D04	YLR185W
D05	YLR410W
D06	YML061C
D07	YOL041C
D08	YGL038C
D09	YGL127C
D10	YOR221C
D11	YML073C
D12	YKL080W
E01	YGL042C
E02	YHR191C
E03	YER131W
E04	YDR447C
E05	YBR224W
E06	YOR158W
E07	YPR164W
E08	YNL001W
E09	YKL073W
E10	YCL061C
E11	YGL084C
E12	FY4
F01	YHL031C
F02	YML073C
F03	YBL024W
F04	YER169W
F05	YJR139C
F06	YNL135C
F07	YDR150W
F08	YJL138C
F09	YDR123C
F10	YHL038C
F11	YMR207C
F12	BY4741
G01	YBR194W
G02	YMR016C
G03	YPR139C
G04	YDR369C
G05	YBR063C
G06	YDR360W
G07	YMR223W
G08	YDR049W
G09	YPL260W
G10	YBL094C
G11	YMR307W
G12	BY4742
H01	YKR094C
H02	YOR035C
H03	YER162C
H04	YIL153W
H05	YGL191W
H06	YOR140W
H07	YOR139C
H08	YGR006W
H09	YDL201W
H10	YEL046C
H11	YPR020W
H12	YKL080W
