Well	STRAIN
A01	YDR151C
A02	YPL056C
A03	YGR227W
A04	YGL050W
A05	YNL196C
A06	YDR261C
A07	YIL015W
A08	YIL045W
A09	YIL096C
A10	YOL088C
A11	YPR039W
A12	FY4
B01	YDR155C
B02	YPR111W
B03	YGR232W
B04	YGL053W
B05	YNL191W
B06	YDR275W
B07	YIL016W
B08	YIL050W
B09	YIL006W
B10	YOL116W
B11	YPR092W
B12	BY4741
C01	YDR215C
C02	YPR119W
C03	YBL054W
C04	YGL082W
C05	YNL183C
C06	YDR285W
C07	YIL023C
C08	YIL053W
C09	YIL007C
C10	YER088C
C11	YJL067W
C12	BY4742
D01	YDR216W
D02	YPR125W
D03	YBL064C
D04	YGL087C
D05	YNL176C
D06	YDR297W
D07	YIL028W
D08	YIL057C
D09	YIL055C
D10	YHR045W
D11	YER063W
D12	YKL080W
E01	YGL200C
E02	YPR146C
E03	YGL004C
E04	YGL094C
E05	YNL175C
E06	YDR317W
E07	YIL029C
E08	YIL073C
E09	YFL050C
E10	YHR140W
E11	YHR127W
E12	FY4
F01	YGL226C-A
F02	YPR197C
F03	YGL017W
F04	YNL241C
F05	YNL167C
F06	YIL001W
F07	YIL032C
F08	YIL077C
F09	YGR266W
F10	YML100W
F11	YJR128W
F12	BY4741
G01	YGL229C
G02	YPR199C
G03	YGL035C
G04	YNL211C
G05	YKR047W
G06	YIL005W
G07	YIL037C
G08	YIL087C
G09	YIR018W
G10	YMR106C
G11	YML021C
G12	BY4742
H01	YPL089C
H02	YGR226C
H03	YGL037C
H04	YNL205C
H05	YKR052C
H06	YIL011W
H07	YIL043C
H08	YIL095W
H09	YMR073C
H10	YPR012W
H11	YMR175W
H12	YKL080W
